CITY	January	February	March	April	May	June	July	August	September	October	November	December
New_York	$214	$218	$278	$321	$359	$335	$287	$299	$407	$390	$340	$347
Las_Vegas $149 $138 $139 $146 $136 $140 $138 $129 $159 $159 $144 $124
Orlando $143 $150 $161 $145 $135 $136 $142 $122 $123 $132 $129 $144
San_Francisco $202 $242 $236 $238 $283 $285 $279 $298 $304 $294 $203 $195
Los_Angeles $210 $214 $216 $234 $234 $239 $248 $247 $228 $222 $208 $196
Chicago $150 $157 $196 $251 $283 $310 $268 $244 $285 $296 $256 $159
San_Diego $152 $162 $167 $179 $182 $194 $230 $201 $175 $165 $154 $142
Boston $212 $211 $271 $381 $380 $388 $347 $348 $398 $414 $311 $200
New_Orleans $179 $225 $215 $248 $217 $188 $165 $147 $178 $218 $197 $163
Washington_D.C. $204 $232 $321 $364 $350 $311 $252 $226 $296 $339 $263 $197
Honolulu $252 $266 $227 $226 $239 $269 $314 $269 $278 $261 $250 $272
Atlantic_City $107 $114 $112 $136 $132 $133 $201 $179 $162 $130 $101 $115
Miami_Beach $303 $322 $328 $283 $249 $209 $221 $204 $199 $216 $219 $258
Vancouver $114 $114 $134 $158 $212 $232 $265 $252 $237 $163 $134 $128
Seattle $173 $177 $189 $200 $241 $301 $315 $325 $278 $222 $188 $163
Atlanta $176 $179 $181 $187 $184 $174 $185 $167 $180 $182 $168 $150
Philadelphia $179 $189 $202 $228 $243 $237 $235 $220 $240 $233 $210 $175
Houston $135 $142 $143 $145 $144 $132 $124 $125 $119 $125 $117 $104
Dallas $147 $153 $150 $161 $155 $162 $150 $149 $156 $163 $146 $133
