id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
72635,"3 Private Bedrooms, SW Austin",377044,Jason & Marcie,,78739,30.2028238,-97.88430896,Private room,300,2,1,3/21/11,0.02,1,240
5386323,Cricket Trailer,27922117,Michael,,78739,30.19941406,-97.90068357,Private room,99,3,0,,,1,364
8826517,Private room 1 in South Austin,46230038,Ric,,78739,30.16849634,-97.86448297,Private room,100,1,0,,,2,365
8828616,Private room 2 in South Austin,46230038,Ric,,78739,30.16862129,-97.86487419,Private room,100,1,0,,,2,365
8536913,Brand-New 3BR Austin Home,31148752,Bo,,78739,30.16942557,-97.88831864,Entire home/apt,599,2,0,,,2,358
8542056,Private room & Bathroom.,44939694,,,78739,30.18676368,-97.907443,Private room,100,1,0,,,1,365
6385948,"S. Austin, convenient to MoPac",33287946,Jennie,,78739,30.18769527,-97.92021716,Private room,54,1,0,,,1,301
8486890,Cozy private room 15 mins frm dtwn,11448084,Prerna,,78739,30.18318341,-97.89098664,Private room,40,1,2,11/1/15,2,1,312
8633580,Room to rent,45398195,Aurore Et Jeremy,,78739,30.18929184,-97.86937282,Private room,130,1,0,,,1,355
5293632,Southwest Austin Retreat,1988520,,,78739,30.17042371,-97.86999744,Private room,44,1,20,10/13/15,2.52,1,364
7659967,Bright Comfy Room in Spacious Home,39813308,,,78739,30.19514503,-97.87325404,Private room,99,2,0,,,1,364
4045302,"Studio apartment w/ Pvt bath, Pool ",1456033,Neha,,78739,30.15196823,-97.85736967,Private room,50,3,9,10/28/15,0.69,1,84
2989616,South Austin Private room2,7567467,Chalu,,78739,30.18864483,-97.8893217,Private room,49,2,4,10/12/15,1.41,5,360
2853144,South Austin Private room,7567467,,,78739,30.18916285,-97.88786222,Private room,50,3,7,7/27/15,0.39,5,364
330710,Austin Zen Stay / Longhorn Room 10,1427814,Andrea,,78754,30.32861882,-97.67665486,Private room,55,1,14,10/13/15,0.32,10,365
5370554,"Cozy apartment in N. Austin",27839802,Sarah,,78754,30.37968426,-97.65205261,Entire home/apt,180,1,0,,,1,238
6629676,Nice and quiet private guest room,34704670,Victor,,78754,30.37672907,-97.65730846,Private room,36,1,6,10/11/15,1.17,2,356
8689127,Near downtown on greenbelt!,32007715,Chris,,78754,30.36685553,-97.65319262,Private room,125,1,0,,,2,365
7988725,Lovely apartment in gated community,42163493,,,78754,30.38117647,-97.65075699,Entire home/apt,59,2,0,,,1,69
5260962,Master Bed in French Country Home!,13935640,K,,78754,30.33507877,-97.64788404,Private room,49,1,4,7/6/15,0.51,2,254
6628321,Williamson House,33242818,Catie,,78754,30.37295044,-97.65846978,Private room,40,1,0,,,1,132
7451505,Private room on Walnut Creek,7960961,Grant,,78754,30.37092795,-97.66301063,Private room,150,1,0,,,1,365
1704476,Huge rental 10 min to everything!,5685651,Douglas,,78754,30.37627174,-97.65423271,Private room,175,1,0,,,1,365
2432311,Large Private Bed/Bathroom in Home,12432655,Nicole,,78754,30.3573206,-97.64198872,Private room,50,1,76,11/2/15,3.74,1,153
9298752,Comfortable relaxing house,48273901,Christine,,78754,30.37438162,-97.65397708,Entire home/apt,120,1,0,,,1,360
7725153,3 bedroom home 15 minutes from DT,40591749,Kevin,,78754,30.33492949,-97.64619874,Entire home/apt,450,1,0,,,1,68
3928248,Private Bed in Cozy French House!,13935640,K,,78754,30.33455216,-97.65012697,Private room,49,1,14,10/14/15,0.97,2,354
6749902,Cozy and private guest room,34704670,Victor,,78754,30.37688929,-97.65697961,Private room,36,1,8,10/31/15,1.86,2,364
6169536,Near downtown Austin on greenbelt!,32007715,Chris,,78754,30.36832709,-97.65316173,Private room,75,1,1,10/17/15,1,2,365
5839837,Room in a House in Northeast Austin,11277513,,,78754,30.36382163,-97.61802796,Private room,50,1,1,10/13/15,1,1,353
