id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8909380,Nice quiet private ranch house,44800067,Kevin,,Acton,34.48543056,-118.1253795,Private room,50,1,27,2/27/17,1.78,1,365
14078522,Room w/private bath on Small Ranch,84615808,Kirsten,,Acton,34.51012966,-118.2124069,Private room,55,1,9,2/26/17,1.48,1,358
13006928,Miller Ranch Bunkhouse,71743973,Beverly,,Acton,34.51548578,-118.2307423,Entire home/apt,150,1,17,2/19/17,2.05,1,113
12190450,Near downtown LA,65522382,Diana,,Adams-Normandie,34.03489306,-118.2915378,Private room,39,1,3,7/22/16,0.32,1,0
9174553,Large Private Cinema Style Room,23480749,Javier & Miguel,,Adams-Normandie,34.03552482,-118.2977659,Private room,59,3,13,12/23/16,0.81,2,341
14859779,Spacious House in Los Angeles,93062529,Jacob,,Adams-Normandie,34.03535862,-118.2991367,Entire home/apt,350,1,0,,,1,364
1557529,Tiny Room in Central LA near USC,2324191,Elisabeth,,Adams-Normandie,34.03265476,-118.2977112,Private room,50,1,19,11/14/16,0.56,17,315
11203634,The right solution for short stays,41504364,Allen,,Adams-Normandie,34.02618058,-118.2928216,Entire home/apt,89,1,58,2/24/17,4.62,1,7
654641,Central LA Cozy Private Room,2324191,Elisabeth,,Adams-Normandie,34.02889917,-118.2999755,Private room,56,1,21,8/25/15,0.38,17,349
14281484,Guest House at West Adams Craftsman Home w/ Pool,1619196,Chrissy,,Adams-Normandie,34.03040109,-118.3071965,Entire home/apt,120,1,12,1/22/17,2.13,1,153
9303822,Apartment near USC and Downtown LA,46817990,Lyra,,Adams-Normandie,34.02820503,-118.2917788,Private room,32,7,1,11/19/15,0.06,1,0
6153123,Spacious Private Room & Bathroom,2324191,Elisabeth,,Adams-Normandie,34.03058705,-118.2995484,Private room,79,1,7,12/5/16,0.34,17,346
4839375,Private Room in Beautiful 2BR House,24905603,Kelley,,Adams-Normandie,34.0270189,-118.3024723,Private room,80,1,33,2/24/17,1.63,2,323
12570324,Dopest Artist Loft in LA,42523268,Jenny,,Adams-Normandie,34.03155582,-118.3021604,Private room,55,1,6,12/20/16,0.58,1,271
16068508,The Library,89420054,Cooper,,Adams-Normandie,34.03250191,-118.2977478,Private room,45,1,21,2/28/17,7.68,2,58
14555547,Cozy Casa de Nellina :) private room w/ Bathroom,90118152,Nelly,,Adams-Normandie,34.02979779,-118.3086499,Private room,55,1,5,2/15/17,1.29,1,237
13308717,Rustic West Adams District Craftsman Home,46668642,Rick,,Adams-Normandie,34.03131118,-118.3086572,Private room,45,2,35,1/31/17,4.22,1,14
9048768,New Modern Studio Near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03400827,-118.3053389,Entire home/apt,65,1,17,1/10/17,1.08,3,272
8428885,æ´›æù‰çŸ¶å¸‚ä¸_å¿ƒ éù è¿‘USCå_§å__é™„è¿‘ 10åè·é«˜é€Ÿå…¬è·¯æ—Åè__ äº_é€_ä_¿åˆ©,44389104,Hao,,Adams-Normandie,34.03667996,-118.29442,Private room,56,1,39,2/28/17,2.25,1,289
3052357,Modern 2BR Apt near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03229386,-118.3041339,Entire home/apt,115,1,83,2/14/17,2.6,3,264
7898757,Studio with full bathroom,41646908,Ian,,Adams-Normandie,34.03141859,-118.2990165,Private room,30,1,3,12/26/15,0.2,1,0
1471992,Room for Rent near USC,2324191,Elisabeth,,Adams-Normandie,34.03235607,-118.2998489,Private room,56,1,19,12/14/16,0.45,17,354
2516036,Luxury loft (near DTLA and USC),12879495,Kathy,,Adams-Normandie,34.02598566,-118.2997233,Entire home/apt,115,1,45,11/22/16,1.28,1,356
1080947,LA Room Rental,2324191,Elisabeth,,Adams-Normandie,34.02864097,-118.3012964,Private room,69,1,33,11/14/16,0.72,17,323
9167855,Quarto compartilhado Los Angeles,47714615,Bruna,,Adams-Normandie,34.02839683,-118.2961743,Shared room,70,1,0,,,1,0
5393269,Experience Rastaman Vibrations LA,21526457,Richard,,Adams-Normandie,34.02642897,-118.3033864,Private room,50,1,1,3/5/15,0.04,1,0
5851860,URBAN Oasis by DTLA/USC. RM 1,1545056,L,,Adams-Normandie,34.02820505,-118.3021919,Private room,55,2,25,2/19/17,1.63,2,109
6504741,"USC, Central LA Room with Queen-Bed",2324191,Elisabeth,,Adams-Normandie,34.02991191,-118.2995604,Private room,56,1,10,1/2/17,0.5,17,357
12136080,Comfortable and Beautiful Home,24905603,Kelley,,Adams-Normandie,34.02663216,-118.301125,Private room,80,1,5,10/31/16,0.51,2,152
9645396,URBAN Oasis close to DTLA/USC. RM 2,1545056,L,,Adams-Normandie,34.02944308,-118.3021297,Private room,50,2,22,2/28/17,1.56,2,104
