id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14487681,"""Haven on the Harbor"" Pool",23834026,Darlene,,District 1,36.15796196,-86.88810917,Entire home/apt,100,2,2,8/26/16,2,2,335
3010518,2 Story Farmhouse 15 mins to city,15341702,Chantelle,,District 1,36.20742624,-86.8806131,Entire home/apt,230,2,35,7/4/16,1.26,1,248
7045374,Music City Oasis; 15min to Downtown,36944724,Sarah,,District 1,36.22301528,-86.872061,Entire home/apt,180,1,2,7/22/15,0.14,1,0
14507007,Perfect Watering Hole/Open Bar,38908432,Angeline,,District 1,36.2202636,-86.87450207,Entire home/apt,1000,1,0,,,5,365
7632545,Beautiful 4 bedroom home,32138002,Kiesha,,District 1,36.22792043,-86.82668168,Entire home/apt,350,3,0,,,1,364
13436856,"Fantastic Country Getaway, minutes from Nashville",76664807,Susan,,District 1,36.23569834,-86.90711775,Private room,50,1,1,7/17/16,0.58,1,51
5176412,__** Peaceful Green Zen Den **__,26775113,Jo'An,,District 1,36.21279955,-86.85835513,Private room,60,1,7,5/25/16,1.34,2,354
12222392,A Home Away From Home,63493720,Shalita,,District 1,36.21946425,-86.85565119,Entire home/apt,180,2,3,7/8/16,1.05,1,295
11280184,Emma's Place,58915145,James,,District 1,36.21831109,-86.8588331,Entire home/apt,240,2,9,7/24/16,1.74,1,174
13188101,Music City Suite Retreat - AMAZING for GROUPS!!!,319913,Reservations,,District 1,36.26357467,-86.85426282,Entire home/apt,332,2,2,8/7/16,1.15,25,341
12835412,Perfect for ur bachelor/ette party,38908432,Angeline,,District 1,36.22324993,-86.87247823,Entire home/apt,1000,1,4,8/21/16,1.11,5,357
2480117,Roomy Teal Room,3155867,Koya,,District 1,36.21754658,-86.84397106,Private room,85,2,98,8/4/16,3.35,2,340
6822388,5 miles from downtown Nashville.,35730321,Derek,,District 1,36.20922345,-86.83639614,Private room,38,1,12,8/6/16,2.65,2,350
7732118,"Whooping Crane Farm, 12 min. from Nashville",7555756,Christen,,District 1,36.17310612,-86.93054125,Entire home/apt,275,2,5,7/24/16,1.61,1,357
1733111,Bells Bend Country Cottage,9130922,Katie,,District 1,36.23872128,-86.91427949,Entire home/apt,150,2,27,7/24/16,0.76,1,365
8539715,"Artistic, Peaceful, Creative Haven",26775113,Jo'An,,District 1,36.21098822,-86.85827717,Entire home/apt,130,1,31,7/25/16,2.85,2,359
7868621,The Nashville Way,41469573,Cheryl,,District 1,36.2266134,-86.82977497,Entire home/apt,159,2,3,7/31/16,0.36,1,365
5795487,Luxurious Cozy Guesthouse Retreat,30066816,Jennifer,,District 1,36.27403766,-86.91007695,Entire home/apt,125,3,70,8/21/16,4.19,1,162
1074050,The Dream Big Room,3155867,Koya,,District 1,36.21732847,-86.84545381,Private room,85,2,77,8/8/16,2.35,2,337
10350534,Back Creek Meadow in Bells Bend,2034264,Lara And Chad,,District 1,36.21550264,-86.93116823,Entire home/apt,200,1,6,7/30/16,1.7,1,136
12017164,ESTATE LIKE HOME MIN FROM FONTANEL,48693413,Brandon,,District 1,36.2765766,-86.84312584,Entire home/apt,800,2,10,8/29/16,2.61,2,343
12291952,A quick drive to broadway!,38908432,Angeline,,District 1,36.22283278,-86.87415219,Private room,75,1,1,7/10/16,0.51,5,360
14707474,Big party house with lots of beds !,1554315,Stephanie,,District 1,36.20972381,-86.83609372,Entire home/apt,349,1,0,,,6,355
14807143,"Warm, spacious house, 10 minutes of downtown!",72412650,Dimeta,,District 1,36.21325645,-86.85477735,Entire home/apt,95,2,0,,,1,85
3760692,Love Nashville? Paradise Ridge ,14171282,Susan And Fred,,District 1,36.28627982,-86.89657706,Entire home/apt,89,1,78,6/26/16,3.13,1,309
12355786,Cedar Valley Farm,66669083,Michael,,District 1,36.21093762,-86.92209971,Entire home/apt,396,2,3,8/29/16,1.27,1,354
11626617,Upstairs room! Close to DT,38908432,Angeline,,District 1,36.22315137,-86.87424756,Private room,75,1,7,9/4/16,1.24,5,360
215128,Solar Cabin    Nashville tn.,687401,Roman,,District 1,36.34283516,-86.89731012,Entire home/apt,300,6,0,,,1,363
13362686,Bunk beds. 5 miles from downtown.,35730321,Derek,,District 1,36.20879563,-86.8360836,Private room,35,1,15,8/14/16,5,2,355
11543772,"Great space, Not far from DT",38908432,Angeline,,District 1,36.22135837,-86.87310017,Private room,95,1,9,7/11/16,1.47,5,85
13279879,Country Retreat with pool; minutes from Nashville,74865831,Bryan,,District 1,36.32263762,-86.88739102,Entire home/apt,85,1,8,8/27/16,3.2,1,80
14058395,Shipping container house: The Bird House Nashville,64442840,Brandon&Jocelyn,,District 1,36.23348381,-86.84359739,Entire home/apt,99,2,4,8/31/16,3.16,1,144
5153186,Yoga Studio Included in this Stay!,6638596,John & Mary,,District 1,36.22163493,-86.86605935,Private room,60,2,24,8/21/16,1.33,1,338
13590763,Rustic peaceful mountain top retreat,75992489,John & Carol,,District 1,36.30740466,-86.81310477,Private room,105,1,9,9/4/16,4.03,1,179
3163619,"5 Star, Downtown 2.2 mi, Bungalow, East Nashville",11785491,Robin And Chris,,District 6,36.1788981,-86.74009011,Entire home/apt,258,2,56,8/29/16,2.04,2,325
4191223,Newest Luxury In Hot East Nashville,21744759,Ryan,,District 6,36.17985177,-86.74115376,Entire home/apt,699,1,7,12/27/15,0.31,1,329
4364474,3br/2ba Craftsman Close to Downtown,157522,Marta & Josh,,District 6,36.18903305,-86.73981066,Entire home/apt,275,2,16,7/31/16,0.7,2,34
14656134,Nashville Suite: In Pursuit of the Suite Life,17795594,Arianna,,District 6,36.16848543,-86.7518926,Private room,85,1,3,9/5/16,3,1,354
2473234,Room At Eastland,12649085,Val,,District 6,36.1821821,-86.72600184,Private room,55,2,31,8/26/16,1.04,1,286
5397498,Spacious E Nashville 2nd Fl Suite,27981303,Yvonne,,District 6,36.18177027,-86.74029289,Private room,99,2,64,8/22/16,3.54,1,239
6234235,"Cute, quiet and close to fun!",1500555,Tiffany,,District 6,36.18062422,-86.71295429,Entire home/apt,200,3,36,8/8/16,2.23,1,173
7528054,Cozy Room. Great East Nash Location,19339986,McKel,,District 6,36.18604468,-86.74148288,Private room,100,2,4,10/25/15,0.35,1,0
13124378,2 Bedroom apt Historic 5 Points East Nashville,73044501,Timothy,,District 6,36.1812118,-86.7482911,Entire home/apt,175,1,7,8/21/16,2.84,1,341
4787052,Nashville Carriage House w/Garage,24675632,Bill And Debbie,,District 6,36.18504279,-86.74594698,Entire home/apt,119,2,130,8/22/16,6.35,2,128
6560581,East Nashville Garage Apartment,22459665,Jon,,District 6,36.18241503,-86.74322338,Entire home/apt,100,1,42,8/21/16,5.75,1,122
6411813,Modern Comfort Prime East Nashville,33441695,Ken,,District 6,36.17433382,-86.73763897,Entire home/apt,275,3,7,3/23/16,0.48,1,0
14281597,East Nash Designer House Walk to Restaurants,36368814,Laura,,District 6,36.18568751,-86.72863857,Entire home/apt,90,1,3,8/28/16,3,2,37
5903999,Detached Garage Apt-Heart of E Nash,1567001,Amy,,District 6,36.17943517,-86.74318085,Entire home/apt,135,1,13,8/31/16,0.82,5,298
13978747,Brand New East Nashville Charmer,41183272,Cassie,,District 6,36.17906053,-86.73995909,Entire home/apt,199,2,2,8/14/16,1.54,13,292
5183196,East Nashville Apt. Great Location,18778827,Dianne,,District 6,36.18300021,-86.74444504,Entire home/apt,99,2,40,8/26/16,2.67,1,0
6302890,East Nashville's perfect hideaway,8664546,Ann & Joel,,District 6,36.17685659,-86.74272779,Entire home/apt,117,2,44,8/29/16,3.29,1,302
3069014,Private Room & Bath in East Nashville,157522,Marta & Josh,,District 6,36.18968182,-86.74139191,Private room,85,2,114,8/29/16,4.07,2,112
8800840,Great Location with Rooftop Deck,8030951,Jeffrey,,District 6,36.17431888,-86.75784187,Entire home/apt,199,2,22,8/30/16,3.28,1,308
11672549,Modern home-historic East Nashville,61975998,Steve,,District 6,36.17338565,-86.7512803,Entire home/apt,340,2,19,8/28/16,3.99,1,297
6729416,PRIVATE ROOM 3 MIN TO DOWNTOWN,17246156,Matthew And Sherne,,District 6,36.16966826,-86.75894278,Private room,70,2,128,9/4/16,8.48,2,116
7937095,The Heart of East Nashville!,22937638,Dave,,District 6,36.17015642,-86.75840318,Entire home/apt,600,2,36,8/14/16,2.84,1,216
13530649,A Truly UNIQUE Modern Home in East Nashville,71112010,Jeanelle,,District 6,36.18077815,-86.73698305,Entire home/apt,350,2,1,7/17/16,0.58,3,0
13800956,Architectural Gem - quiet East Nashville home.,2896688,Ferraby,,District 6,36.18865326,-86.72351161,Entire home/apt,350,2,5,8/21/16,3.66,1,345
2478131,Songbird Suite in East Nashville,2478371,Brynn,,District 6,36.16591228,-86.75098453,Private room,91,1,178,9/2/16,6.65,1,129
7115636,EastsideCentral-heart of Nashville,6684609,Meghan & Greg,,District 6,36.1727018,-86.75760573,Entire home/apt,155,2,59,8/30/16,4.25,1,130
2181743,Urban Cottage near 5Points/Downtown,7073590,Brigitte,,District 6,36.16975546,-86.73837264,Entire home/apt,135,1,96,8/20/16,3.45,3,272
5947139,Urban 1br Basement Apt,30874017,Merrill,,District 6,36.16547488,-86.74592316,Entire home/apt,80,1,83,8/25/16,6.18,1,201
8591039,Urban-chic 1 BR apt in East Nash,45212096,Shauna Rae,,District 6,36.17038867,-86.76527862,Entire home/apt,150,2,39,8/29/16,3.97,1,285
9188932,Honky-Tonk Roadhouse:12 Beds Total!,319913,Reservations,,District 6,36.17162364,-86.75112721,Entire home/apt,607,3,13,8/14/16,1.78,25,285
13275330,Eastside Enchantment,30799064,Angela,,District 6,36.16202538,-86.75017593,Entire home/apt,125,1,9,9/5/16,3.46,1,113
10228685,Cozy Private Room with own entrance,17330108,Joshua,,District 6,36.16990923,-86.7578082,Private room,75,1,30,9/3/16,4.25,1,342
13557456,"Cozy, private room in East Nashville/Five Points!",30277036,Megan,,District 6,36.17323091,-86.74666863,Private room,65,1,7,8/23/16,3.75,1,354
3696870,Walkable in East Nashville,18830581,Mike & Kate,,District 6,36.17249167,-86.75695832,Private room,125,2,121,8/29/16,4.7,2,157
