id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16579302,Charming Garden District Private Apartment,51157115,Brittney,,Garden District,29.92924852,-90.08656576,Entire home/apt,139,1,6,2/27/17,5.29,2,322
9385410,Directly on the streetcar line!,48273922,David,,Garden District,29.93185949,-90.08351341,Entire home/apt,750,2,38,2/19/17,2.48,2,80
2139985,Ideal location with gorgeous porch,1362394,Luke,,Garden District,29.92844793,-90.08197478,Entire home/apt,99,2,34,2/13/17,0.88,1,353
13826494,Garden District Apartment,71464439,Colette,,Garden District,29.92463053,-90.08663577,Entire home/apt,71,1,0,,,1,0
11664321,Irish Channel West Indies Cottage,2971062,Rich,,Garden District,29.92350549,-90.08770341,Entire home/apt,175,1,0,,,1,0
914407,Parks-Bowman Mansion: The Red Room,4795675,Adrienne,,Garden District,29.92912476,-90.08346979,Private room,110,1,248,2/17/17,5.1,3,316
17417235,Great Garden District home! :),10717297,Brittany,,Garden District,29.92738,-90.08599538,Entire home/apt,448,1,0,,,1,180
14804135,Garden District Home One Block to St. Charles Ave,20673824,Shannon,,Garden District,29.93179744,-90.08403875,Entire home/apt,135,2,2,2/20/17,0.33,1,142
2137891,"Sunny, Beautiful Apartment - Garden District",10910246,Laszlo,,Garden District,29.93058763,-90.08245226,Entire home/apt,249,2,12,2/27/17,0.32,1,119
14278844,Historical Garden District Shotgun Home,9878163,Joe,,Garden District,29.92600632,-90.08738233,Entire home/apt,75,1,26,3/3/17,4.46,1,36
4855191,Guest House in the Garden District,24976667,Alex,,Garden District,29.93090561,-90.08258176,Entire home/apt,250,2,52,1/3/17,2.09,1,334
16928407,Garden District Boutique Inn - Tchoupitoulas Room,2851267,Melinda,,Garden District,29.93005716,-90.08538452,Private room,175,2,0,,,9,318
14594476,"Relaxing Garden District Apt, Close to Everything",7454220,Brenna,,Garden District,29.92620922,-90.08729765,Entire home/apt,180,2,2,11/14/16,0.48,1,0
3257647,Guesthouse W/ Beautiful Courtyard!,16474497,Kristen,,Garden District,29.93098331,-90.08423536,Entire home/apt,85,3,116,2/15/17,3.91,1,307
914617,Parks-Bowman Mansion: The Library,4795675,Adrienne,,Garden District,29.92736641,-90.08222442,Private room,120,1,242,2/20/17,4.88,3,246
10331478,Private Garden District  Studio,53165853,Joseph,,Garden District,29.92755426,-90.08732568,Entire home/apt,125,1,22,2/20/17,1.73,1,323
9184851,The Hobbit - uptown oasis,47787040,Carlos,,Garden District,29.92584489,-90.08630973,Entire home/apt,109,2,48,2/21/17,2.94,2,60
11302837,"On Magazine Street, Heart of Garden District",22362895,Rud,,Garden District,29.92807856,-90.08269432,Private room,50,4,32,1/10/17,2.54,1,71
11813186,Fab Garden Dist/Magazine Townhouse/Prime Location,46417812,Jan,,Garden District,29.92568826,-90.08637349,Entire home/apt,395,4,24,3/1/17,2.24,2,144
16926470,A Garden District Boutique Inn - Carrollton,2851267,Melinda,,Garden District,29.93136459,-90.08357257,Private room,192,2,0,,,9,320
16540162,Cozy Garden District Getaway,2851267,Melinda,,Garden District,29.93162699,-90.08450297,Private room,241,2,0,,,9,313
17407858,Garden District oasis with pool!,7042720,Shira,,Garden District,29.92764769,-90.0815849,Entire home/apt,1200,2,0,,,1,179
1068734,Garden District Apt -coolest area!,4853969,Christynn,,Garden District,29.9251838,-90.08621098,Entire home/apt,275,1,6,7/1/14,0.14,1,365
6540997,Charm in the Garden District,34208426,Liz,,Garden District,29.92975686,-90.0861642,Entire home/apt,450,1,27,2/20/17,1.27,1,345
17386805,Magazine st. Apartment,93856168,Shaun,,Garden District,29.92566994,-90.08569839,Entire home/apt,275,2,0,,,1,177
12514073,Spacious 2 BD/2 BA Walk to Parades!,18992328,Joseph,,Garden District,29.92574455,-90.08333493,Entire home/apt,150,2,6,1/4/17,0.73,1,59
15885783,Irish Channel charm w/ a modern flair!,103017326,Vika,,Garden District,29.92802171,-90.07934419,Entire home/apt,70,2,4,2/19/17,1.85,1,141
16913630,Cozy Garden District Stay 1 block from Streetcar,2851267,Melinda,,Garden District,29.93023857,-90.08483822,Private room,143,2,0,,,9,325
11847847,Luxury Garden Dist. Carriage House,8254025,Denver,,Garden District,29.92413543,-90.08698864,Entire home/apt,97,3,0,,,1,0
16133766,Garden District Gem - Townhome 2,23621291,Ravi,,Garden District,29.92689287,-90.08243188,Entire home/apt,650,3,0,,,5,340
12950331,Prime Location: Fab Garden Dist/Magazine Townhouse,46417812,Jan,,Garden District,29.92517305,-90.08736532,Entire home/apt,350,1,5,2/19/17,0.83,2,141
16253394,"Clean, comfy apartment in a fantastic location in New Orleans!",106269510,Allora,,Garden District,29.92688012,-90.08447534,Entire home/apt,99,2,6,2/6/17,1.22,1,139
15610091,"Beautiful, Garden District Uptown Home (2 Rms)",65487233,Bethany,,Garden District,29.92665573,-90.08448708,Entire home/apt,300,2,1,2/27/17,1,1,92
15931466,Perfect Location! Central Garden District,3018143,Mark & Angela,,Garden District,29.92746888,-90.08434085,Entire home/apt,159,3,2,1/21/17,0.97,2,27
16926972,Charming New Orleans Garden District Stay!,2851267,Melinda,,Garden District,29.9295069,-90.0851841,Private room,241,2,0,,,9,312
12548755,"Light, Airy Garden District Studio",8468712,Mara,,Garden District,29.92795043,-90.08263398,Entire home/apt,225,1,1,5/30/16,0.11,1,35
16874279,1 BD in the heart of the Garden District,769901,Pat,,Garden District,29.92738497,-90.08043649,Entire home/apt,125,2,0,,,1,62
15450063,Mardi Gras Carriage House steps from parade route!,4040483,Casey,,Garden District,29.93000411,-90.08645693,Entire home/apt,500,3,4,2/19/17,0.96,2,145
16926644,Garden District Getaway 1 block from Streetcar,2851267,Melinda,,Garden District,29.93136492,-90.08358481,Private room,252,2,1,2/26/17,1,9,305
7732901,Large& Spacious on Magazine Street!,34686272,Duncan,,Garden District,29.92548395,-90.0862858,Entire home/apt,229,2,25,2/26/17,1.83,1,283
10925522,Mansion on St. Charles Ave,13714179,Jeanne,,Garden District,29.92911112,-90.08869771,Entire home/apt,175,2,22,3/1/17,1.86,4,350
5026237,Decorator's House Magazine Street,25939972,Valorie,,Garden District,29.92540915,-90.08408315,Entire home/apt,200,2,39,2/25/17,1.63,1,307
12562504,The Heart of Magazine Street,12992223,Terrie,,Garden District,29.92506478,-90.0869814,Entire home/apt,150,1,6,2/25/17,0.64,1,351
13447987,GARDEN DISTRICT DOUBLE,24926274,Chris,,Garden District,29.92716811,-90.08512166,Entire home/apt,175,2,6,1/1/17,1.25,1,178
13397049,Garden District Entire Property - Sleeps 16!,70818097,Thomas,,Garden District,29.92858287,-90.08383429,Entire home/apt,600,3,9,3/1/17,1.56,3,35
14673296,Garden District Mansion Apartment,7019253,Travis Hale,,Garden District,29.9276687,-90.08161209,Entire home/apt,140,1,17,2/15/17,2.82,1,335
13396804,Garden District- Steps to Streetcar -Sleeps 6,70818097,Thomas,,Garden District,29.93024149,-90.0820373,Entire home/apt,150,3,12,1/30/17,1.61,3,55
14312222,Luxury 1 BR Garden District Apt.,87487854,Pete,,Garden District,29.92667095,-90.08767545,Entire home/apt,133,3,15,2/20/17,2.47,1,31
11985615,A Huge Luxury Garden District Flat!,13536452,Edward,,Garden District,29.92567259,-90.08811295,Entire home/apt,150,2,15,2/19/17,1.61,3,361
8626782,Charming & spacious with parking!!,45374352,Andrew,,Garden District,29.92805045,-90.08016687,Entire home/apt,150,1,32,2/16/17,1.89,1,63
2644133,A huge Luxury Garden District flat!,13536452,Edward,,Garden District,29.925936,-90.0879866,Entire home/apt,125,2,46,3/1/17,1.3,3,346
15144809,LGD Magazine St. Charming Home,38798018,Christopher,,Garden District,29.92601848,-90.0866538,Entire home/apt,60,1,5,1/2/17,0.93,1,211
914581,Parks-Bowman Mansion: The Haunted Bedroom,4795675,Adrienne,,Garden District,29.92962838,-90.08423556,Private room,115,1,203,2/21/17,4.17,3,319
1201040,Charmer near St Patrick Parades in Garden District,262235,Liz,,Garden District,29.92853338,-90.08503639,Entire home/apt,350,2,12,1/31/17,0.34,1,365
16928530,(Garden District) Sully Mansion-Dauphine Room,2851267,Melinda,,Garden District,29.93112594,-90.08323159,Private room,241,2,0,,,9,333
6705212,Gorgeous Family Home in the Garden!,13536452,Edward,,Garden District,29.92656615,-90.08784441,Entire home/apt,700,30,0,,,3,0
6065881,Great Loc on Magazine! Private Bath,31485322,Ryan,,Garden District,29.92664051,-90.08175648,Private room,60,2,6,7/16/16,0.28,1,36
16927243,(Garden District) Sully Mansion-Esplanade Room,2851267,Melinda,,Garden District,29.93114635,-90.08509572,Private room,192,2,0,,,9,306
11870632,Charming Garden District Carriage House,63286821,Dianna,,Garden District,29.92427898,-90.08703024,Entire home/apt,115,2,2,2/27/17,2,1,171
14977488,3 Bedroom in the Garden District - Sleeps 10!,70818097,Thomas,,Garden District,29.92882579,-90.08269198,Entire home/apt,250,3,5,1/30/17,1.03,3,45
12814540,NOLA #1 Location St Charles GardenD,69889161,Randy,,Garden District,29.9297314,-90.08526427,Entire home/apt,695,3,0,,,1,306
16926858,(Garden District) Sully Mansion-Prytania Room,2851267,Melinda,,Garden District,29.93002461,-90.08320433,Private room,192,2,0,,,9,295
15532775,GARDEN DISTRICT LUXURY EXPERIENCE,95316670,Jenna,,Garden District,29.92641586,-90.0874794,Entire home/apt,500,2,2,2/4/17,0.48,1,179
14369925,On Magazine Street near FUN stuff,88161505,Raynell,,Garden District,29.92872372,-90.08071092,Private room,195,2,6,3/1/17,1.71,1,28
10060023,"The ""2nd line"" rm/10 mls to it all",3010336,Mia,,Little Woods,30.068465,-89.94174049,Private room,99,1,0,,,8,345
14197357,Beautiful  home in NOLA!!,86090795,Jermaine,,Little Woods,30.03892585,-89.9961833,Entire home/apt,50,3,5,1/3/17,0.83,3,168
17343039,Mardia gra Bunk bed,88636688,Otis,,Little Woods,30.04926371,-89.96087351,Shared room,45,2,1,2/27/17,1,2,90
16213667,Mardia gra Upstairs apartment,88636688,Otis,,Little Woods,30.04943822,-89.95923999,Shared room,30,1,3,2/28/17,1.43,2,351
16985327,Home away from home in New Orleans East,113711058,Hunter,,Little Woods,30.02771836,-90.00989362,Private room,60,2,2,2/26/17,2,1,81
15397773,Nice cozy room with ac.,50679710,Jeron,,Little Woods,30.04677714,-89.9806793,Private room,80,1,1,2/18/17,1,1,365
10059886,"Quaint but we call it ""The Tart""",3010336,Mia,,Little Woods,30.06833905,-89.94360847,Private room,49,1,0,,,8,343
13059472,MUST-SEEâ˜…3-Bed Homeâ˜…Great for Groupsâ˜…Instant Book!,72326356,Julian,,Little Woods,30.0400632,-89.99109424,Entire home/apt,65,2,39,2/28/17,4.08,1,131
