id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6378734,"LOCATION NE ""Columbia"" King & day",17261537,Tiger & Peacock,,Sullivan's Gulch,45.53369056,-122.6483766,Private room,75,1,46,6/24/16,3.33,13,238
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.53210669,-122.6444723,Private room,70,1,0,,,1,0
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53223564,-122.6454249,Private room,47,1,78,7/2/16,6.86,2,319
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898,-122.6484275,Private room,110,1,11,6/13/16,3.08,6,358
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277484,-122.648434,Private room,85,2,107,6/27/16,4.5,1,314
10885290,LOCATION NE : Queen Bunk Bed-TOP,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53424743,-122.6482437,Shared room,40,1,24,6/30/16,4.62,13,113
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390004,-122.6502922,Private room,35,5,1,6/15/15,0.08,1,0
10033273,Bright 20's Condo â€” Comfy King Bed,3220199,Meggan,,Sullivan's Gulch,45.53406253,-122.6476731,Entire home/apt,100,2,1,3/20/16,0.28,1,0
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327353,-122.6468701,Private room,70,1,86,6/18/16,5.12,6,348
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.53386634,-122.647757,Private room,100,1,77,6/16/16,4.55,6,350
10907864,LOCATION NE : Queen Bunkbed -BOTTOM,17261537,Tiger & Peacock,,Sullivan's Gulch,45.534176,-122.6469208,Shared room,40,1,18,6/24/16,3.62,13,349
