id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11204286,Family friendly/California king,56227310,Jose,,Amphitheater And Water Park,32.58188168,-117.0019404,Private room,49,1,7,6/26/16,4.57,2,360
7972006,Welcome to Sunset Suite,42066439,Alicia,,East Lake,32.65302888,-116.9768121,Private room,59,2,7,6/7/16,0.76,1,80
7727710,San Diego/Eastlake. Gated community,40606235,Maria,,East Lake,32.66147659,-116.9718135,Entire home/apt,150,1,1,8/23/15,0.09,1,0
13124681,Townhome in Eastlake,66918996,Carlos,,Eastlake Trails,32.63869423,-116.9512517,Entire home/apt,120,2,3,6/30/16,3,1,329
3469225,Bedroom suite in Large new home,4636507,Cristina,,Eastlake Vistas,32.63894229,-116.9388908,Private room,70,1,0,,,2,335
877473,Private Bedroom in Newer Home,4636507,Cristina,,Eastlake Vistas,32.63828494,-116.9393726,Private room,70,2,23,5/2/16,0.63,2,316
3124507,"Great view to mountains,lake,trails",15870464,Monique,,Eastlake Vistas,32.63718313,-116.9347519,Private room,90,2,8,6/26/16,0.31,3,365
3432507,2 bedrooms with shared bath,15870464,Monique,,Eastlake Vistas,32.63759388,-116.9357374,Private room,150,2,1,7/15/14,0.04,3,361
3249729,Near to Olympic Training center,15870464,Monique,,Eastlake Vistas,32.63758802,-116.9349594,Private room,90,2,2,9/2/14,0.08,3,361
11756336,Chula Vista Golf Course House,39158621,Julie,,Estlake Greens,32.6353282,-116.9587564,Entire home/apt,399,2,2,5/8/16,0.59,5,303
12173670,Eastlake Green room available,65401645,Louie,,Estlake Greens,32.64735625,-116.9553359,Private room,58,1,1,5/7/16,0.48,1,0
13157364,Recamaras amuebladas con ba̱o,73459215,Marisela,,Estlake Greens,32.63434167,-116.9535669,Private room,55,3,0,,,1,365
9756570,Family Home in SoCal (Eastlake),49508763,Alvaro,,Estlake Greens,32.62824982,-116.9613131,Entire home/apt,300,7,2,6/2/16,0.32,1,308
10687910,Clean & Sweet Home 2,47746355,Yun,,Estlake Greens,32.62778806,-116.9593991,Private room,45,1,12,7/4/16,2.28,2,174
7938260,1 bedroom in San Diego.,40442827,Gary,,Lynwood Hills,32.62783427,-117.0275347,Private room,35,2,22,7/4/16,2.22,4,340
10779932,2 Bedrooms in San Diego area.,40442827,Gary,,Lynwood Hills,32.62842942,-117.0275475,Private room,45,2,9,7/4/16,1.85,4,334
13301630,3 Beds in my San Diego Master Bedroom Suite.,40442827,Gary,,Lynwood Hills,32.62815962,-117.0255826,Private room,60,2,2,6/27/16,2,4,339
5285136,Family Vacation Home With Game Room,27050514,Maribel,,Lynwood Hills,32.63365166,-117.0314372,Entire home/apt,350,2,5,3/23/16,0.42,1,186
13313236,House in the San Diego area.,40442827,Gary,,Lynwood Hills,32.62855728,-117.0272184,Entire home/apt,450,2,0,,,4,333
7663518,Stanislaus 1 story house w/ garden,20513866,Lorenzo,,Otay Ranch,32.62681184,-116.9972176,Entire home/apt,200,3,10,7/5/16,0.96,1,319
5077385,Big and Bright townhome,2612268,Gigi,,Otay Ranch,32.61723544,-116.9553138,Entire home/apt,265,2,13,6/26/16,0.75,5,360
7113838,Breathtaking home in Otay Ranch,2612268,Gigi,,Otay Ranch,32.62413142,-116.9598267,Entire home/apt,320,1,1,7/4/16,1,5,37
8555262,Otay Ranch Chula Vista  CA  private bedroom/bath,45033332,Sue,,Otay Ranch,32.61651808,-117.0096702,Private room,65,2,4,6/27/16,1.9,1,325
